year,state,district,R_votes,D_votes,other_votes,total_votes,T_votes
1996,AL,1,112999,83920,14660,211579,14660
1996,AL,2,121306,81148,12691,215145,12691
1996,AL,3,97798,88156,13112,199066,13112
1996,AL,4,101636,91625,17687,210948,17687
1996,AL,5,111652,98401,18403,228456,18403
1996,AL,6,169870,68545,10995,249410,10995
1996,AL,7,53565,150271,5080,208916,5080
1996,AK,AL,122746,80380,38494,241620,38494
1996,AZ,1,109137,107698,17048,233883,17048
1996,AZ,2,36584,81678,9292,127554,9292
1996,AZ,3,130887,113635,26993,271515,26993
1996,AZ,4,115094,103878,16547,235519,16547
1996,AZ,5,116965,126223,20732,263920,20732
1996,AZ,6,113406,120176,21462,255044,21462
1996,AR,1,65707,116634,18857,201198,18857
1996,AR,2,83218,124545,17656,225419,17656
1996,AR,3,110457,107096,26857,244410,26857
1996,AR,4,66034,126896,18624,211554,18624
1996,CA,1,83669,113861,38723,236253,38723
1996,CA,2,126430,89736,32223,248389,32223
1996,CA,3,101651,103507,23781,228939,23781
1996,CA,4,145223,107076,31011,283310,31011
1996,CA,5,70925,119678,19022,209625,19022
1996,CA,6,78166,155513,39631,273310,39631
1996,CA,7,50140,131707,19499,201346,19499
1996,CA,8,31282,114906,27957,174145,27957
1996,CA,9,26321,156998,25775,209094,25775
1996,CA,10,122296,138386,26305,286987,26305
1996,CA,11,84303,85117,16560,185980,16560
1996,CA,12,58260,191973,22285,272518,22285
1996,CA,13,51084,115633,18928,185645,18928
1996,CA,14,73302,137561,27132,237995,27132
1996,CA,15,83846,125438,28661,237945,28661
1996,CA,16,43257,91786,14854,149897,14854
1996,CA,17,64178,109941,24818,198937,24818
1996,CA,18,76217,77560,15631,169408,15631
1996,CA,19,111666,85744,17315,214725,17315
1996,CA,20,48446,62164,8201,118811,8201
1996,CA,21,109344,66492,18513,194349,18513
1996,CA,22,108722,108208,28972,245902,28972
1996,CA,23,85508,93046,25982,204536,25982
1996,CA,24,83412,117724,24219,225355,24219
1996,CA,25,97002,84212,24095,205309,24095
1996,CA,26,27129,71416,11080,109625,11080
1996,CA,27,81282,98348,20864,200494,20864
1996,CA,28,86358,88709,20656,195723,20656
1996,CA,29,53354,150771,22641,226766,22641
1996,CA,30,17053,61114,7878,86045,7878
1996,CA,31,27736,70288,9511,107535,9511
1996,CA,32,19348,130394,10618,160360,10618
1996,CA,33,8538,48636,3837,61011,3837
1996,CA,34,39277,91603,13326,144206,13326
1996,CA,35,12063,92773,5856,110692,5856
1996,CA,36,96872,109244,27885,234001,27885
1996,CA,37,13874,88877,6328,109079,6328
1996,CA,38,62053,91673,19782,173508,19782
1996,CA,39,97247,83246,20750,201243,20750
1996,CA,40,94916,73316,26186,194418,26186
1996,CA,41,76867,71393,16739,164999,16739
1996,CA,42,51106,76745,15671,143522,15671
1996,CA,43,82940,78384,21093,182417,21093
1996,CA,44,86414,85397,21744,193555,21744
1996,CA,45,108240,81299,24803,214342,24803
1996,CA,46,42780,51330,10838,104948,10838
1996,CA,47,137024,91916,24886,253826,24886
1996,CA,48,132545,80646,25193,238384,25193
