year,state,district,R_votes,D_votes,other_votes,total_votes,T_votes
2008,NC,1,105738,177941,1288,284967,1288
2008,NC,2,141840,155681,2397,299918,2397
2008,NC,3,190093,117178,2456,309727,2456
2008,NC,4,159427,275205,4305,438937,4305
2008,NC,5,203076,126556,4208,333840,4208
2008,NC,6,212011,122291,3525,337827,3525
2008,NC,7,167888,150071,2747,320706,2747
2008,NC,8,135234,152261,2222,289717,2222
2008,NC,9,212250,174410,3043,389703,3043
2008,NC,10,191580,108496,3501,303577,3501
2008,NC,11,179061,159772,4746,343579,4746
2008,NC,12,89790,218599,2033,310422,2033
2008,NC,13,140486,204190,3193,347869,3193
2008,ND,AL,168887,141403,7448,317738,7448
2008,OH,1,134682,165816,3177,303675,3177
2008,OH,2,201494,137736,4662,343892,4662
2008,OH,3,170174,156699,4858,331731,4858
2008,OH,4,180233,114981,6012,301226,6012
2008,OH,5,166215,141039,6271,313525,6271
2008,OH,6,150865,142850,6313,300028,6313
2008,OH,7,172627,143712,5238,321577,5238
2008,OH,8,191065,119889,5538,316492,5538
2008,OH,9,113615,195399,4963,313977,4963
2008,OH,10,115025,174598,4289,293912,4289
2008,OH,11,41601,245342,1899,288842,1899
2008,OH,12,171044,209516,4773,385333,4773
2008,OH,13,138197,186811,4546,329554,4546
2008,OH,14,169416,168838,5140,343394,5140
2008,OH,15,149890,173311,5685,328886,5685
2008,OH,16,161070,152721,6368,320159,6368
2008,OH,17,106137,182740,6084,294961,6084
2008,OH,18,150470,128046,6864,285380,6864
2008,OK,1,205329,114446,0,319775,0
2008,OK,2,174351,91481,0,265832,0
2008,OK,3,210104,78434,0,288538,0
2008,OK,4,200192,101418,0,301610,0
2008,OK,5,170189,116717,0,286906,0
2008,OR,1,135975,228817,10086,374878,10086
2008,OR,2,193002,154848,10473,358323,10473
2008,OR,3,93931,260128,10144,364203,10144
2008,OR,4,161079,201143,11698,373920,11698
2008,OR,5,154488,192355,9697,356540,9697
2008,PA,1,34276,256940,1364,292580,1364
2008,PA,2,31584,298834,1435,331853,1435
2008,PA,3,143433,143416,4066,290915,4066
2008,PA,4,185239,149851,3407,338497,3407
2008,PA,5,152946,123503,3944,280393,3944
2008,PA,6,148231,207911,3516,359658,3516
2008,PA,7,157367,203407,3502,364276,3502
2008,PA,8,160695,192570,3905,357170,3905
2008,PA,9,176023,98430,3368,277821,3368
2008,PA,10,155864,131345,3600,290809,3600
2008,PA,11,121559,164451,3229,289239,3229
2008,PA,12,133414,132580,3915,269909,3915
2008,PA,13,132249,191180,3057,326486,3057
2008,PA,14,87296,210507,2946,300749,2946
2008,PA,15,139396,179589,4158,323143,4158
2008,PA,16,161844,150341,2719,314904,2719
2008,PA,17,158841,148104,3881,310826,3881
2008,PA,18,187771,151006,3271,342048,3271
2008,PA,19,187857,142398,3698,333953,3698
2008,RI,1,75807,148302,3701,227810,3701
2008,RI,2,89584,148269,4104,241957,4104
2008,SC,1,196389,146919,4298,347606,4298
2008,SC,2,189949,159063,3567,352579,3567
2008,SC,3,188316,103434,3803,295553,3803
2008,SC,4,190113,119259,5254,314626,5254
2008,SC,5,167072,144267,3635,314974,3635
2008,SC,6,103057,189507,2829,295393,2829
2008,SD,AL,203054,170924,7997,381975,7997
2008,TN,1,182499,75255,3836,261590,3836
2008,TN,2,195146,104166,4586,303898,4586
2008,TN,3,174372,103878,3603,281853,3603
2008,TN,4,173892,92964,4581,271437,4581
2008,TN,5,127795,166231,3620,297646,3620
2008,TN,6,190364,112575,4739,307678,4739
2008,TN,7,229068,121272,3374,353714,3374
2008,TN,8,148050,112943,3338,264331,3338
2008,TN,9,57993,198153,1456,257602,1456
2008,TX,1,184560,81749,1436,267745,1436
2008,TX,2,159165,105745,1484,266394,1484
2008,TX,3,171119,124027,2032,297178,2032
2008,TX,4,213968,93439,2259,309666,2259
2008,TX,5,158356,90135,1548,250039,1548
2008,TX,6,172061,114133,1863,288057,1863
2008,TX,7,173162,121472,2082,296716,2082
2008,TX,8,215846,74695,2065,292606,2065
2008,TX,9,40240,137619,684,178543,684
2008,TX,10,187503,150716,2941,341160,2941
2008,TX,11,185389,58326,1919,245634,1919
2008,TX,12,171408,99083,2009,272500,2009
