year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
1916,7.487994568876991,-1.4160815501684891,-0.9391157328431868,4.494410940368925,1.2406882907329162,-0.6218567396636183,-1.60132075688929,-0.23725776719607958,-2.2225916714479803
1920,8.267683195448523,3.617421884158945,-4.840730655435773,2.7222492987091678,0.40215498114604237,-1.5399886723062601,1.9782349716302903,-0.0960045087745259,-1.8319450878467989
1924,9.049536520934163,0.5031963648162915,-5.7327334625871185,1.2767675310709978,-0.2685899400702536,-1.2940141588610277,2.6874654939145057,0.22805258601941195,2.4068045513382894
1928,2.7819478925350927,-2.8486389298560026,-2.917410392288516,-2.2215796555491307,0.1984791397009896,-2.413651590107453,-1.2750232773956545,-0.9333195048007671,2.8432157898305874
1932,7.01761038236879,-5.640727270838217,-0.8708373550933064,1.604556049841039,0.12257007497976938,2.370314914824827,0.7715682648607687,0.6159106825548806,1.9982115576799466
1936,6.229952373511088,-3.411884587722008,1.1833856221179555,-0.027052208845088865,1.0358075720584965,2.5684542257501013,-0.20536044699017703,0.31087702219627034,-0.8032258043238159
1940,5.925847135965274,1.0233210170288762,-0.5693239233800401,-1.8838928160714288,0.7009542926279234,0.5363270214755962,-0.6671694852017728,0.13926325028749492,-0.8763092436330604
1944,4.4616214013664015,0.7779387493633146,-0.46839800928518055,-2.617848093436929,0.723108173900887,0.7158386788321953,-1.2160668942507198,0.008537031508733996,-0.5819288250247322
1948,2.87747729321876,-1.6080414745107614,-2.130267298701952,0.19118754525091183,1.2619561711119947,1.9379662475020842,0.17337299078010113,0.22583823853037696,-0.8908103016363487
1952,1.2127567801415562,2.541964958095298,-2.3692772346559496,-2.3334102120594693,0.5794876453190491,1.9589318927330923,-0.8595133600780862,-0.24386105652647977,-0.6703304020138243
1956,2.004296410981367,-1.0187857972717973,-1.5337281753764715,-0.05164429661736194,0.7729246491187296,3.718561094520186,0.6058580955035805,-0.20213503009627198,-1.2671244755793092
1960,-0.6045106373319438,0.09430168272918162,-0.8395284894468069,-1.5912275811228744,2.2754056058681926,-0.2739343745048813,-1.1146844943136343,-1.5306622897853936,0.3109984436652819
1964,-5.603363580852365,-0.7854406147682604,-1.595802626627805,0.9926723425078747,3.5898625616231747,-1.814883159199777,-0.8385877524709503,3.6191682773784715,-1.535699657530526
1968,-3.242628369506999,0.12814125486941313,-1.138577500548845,-0.6711456134936731,1.8617422866798325,0.11836724835920712,-2.995828704056848,0.49024654838613835,-0.4786094737252146
1972,-4.1080978814185505,-3.1791544268531835,0.7422566612780177,0.6580296185100669,1.8454054973336627,0.24236718397634768,0.7403432741549275,-2.4778766930072758,-1.4767283871262407
1976,-0.9225194685769792,-0.537639395885221,-2.864554385825579,0.4969919402469248,-1.2319961987789494,1.8328814616307376,-1.7848879773269217,-0.8520447979137175,-0.20161753447469363
1980,-3.0771944032355565,1.378077608790869,-2.4754867727505476,-0.0326346281757238,-1.4559136716939305,2.384349952185314,-1.432480422673923,-0.6077131685704743,0.4217650925888912
1984,-3.3157031868492552,-1.1503546669671576,-0.25052463344021425,0.06190465370812103,-1.3789733296390243,2.3126691328392597,0.7296217457380978,-2.2279745353666636,-0.19979115482563642
1988,-3.3402223240122297,-2.9880897908023436,0.011730749446497579,1.5634913902633698,-0.2606857834989485,1.9391939673034089,1.0924162314142885,-0.26317879390402443,-0.5050090212246835
1992,-2.187728351331022,-0.5006073757819396,-0.07777353958277775,0.6357283631985821,0.060328163972849194,0.41419877827500434,0.1305665960743008,-0.5198915110182484,-0.8931159219010811
1996,-3.628612685451634,-0.08261031822867843,0.08320152860511963,-1.6017105223113133,-1.6410636571256476,-1.3856626765984965,-0.9572329982973814,0.5296707433904229,-0.6132070777020999
2000,-4.329625741695185,1.8637269937011585,1.5215002439982963,-1.522058940453536,-2.930912241907503,-1.6124038513830858,-0.4898231582996849,0.2973955173908478,0.5415805987100396
2004,-4.425653322566821,1.2272487328649884,2.5535279112518734,-0.7962562830679515,-2.061848187289078,-1.6987857958098898,0.3195574219166531,-0.6441956050354025,-0.46713047293290055
2008,-4.14633602757842,0.7722007123380082,3.468229481862281,-0.2459350983270852,-2.3408916098168233,-2.2377471381305787,2.0190205461560247,1.6200964108754543,-0.17815838918948934
2012,-4.5374801576180745,1.7512943902311982,4.177181823945883,-0.40039691184743675,-1.9595441798463848,-2.384703261287888,1.3281503994679262,1.72030473651517,0.45754431473826923
2016,-3.1091678722017337,3.1104040579941374,6.01785505390903,-0.5207511089595979,-0.8002817952820113,-1.7898288387578956,0.6212332126116752,0.5124233892378823,2.3246392378527214
2020,-3.407527439051956,3.38489801287315,5.946291633179698,0.4385839262666475,-0.35616831119499953,-2.1528097616957025,0.761015073345655,0.3439475604430679,2.509411857056871
2024,-3.3303525060692736,2.9939197797992234,5.908909478275412,1.3809703703959688,0.01599379996904518,-1.8301517819008062,1.4795554106762547,0.17438326728069506,1.879161458677539
