year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
1916,7.512089093497444,0.0699533167582731,0.9774683444301188,4.755287246059501,0.17698811816076707,-0.8499395447494196,-0.5825480450541024,0.06095681655572461,0.018071414714255638,-1.294319247120304,-0.18658369983468057,1.8409619148249616,-0.026058643301277454,0.35081834200551604,0.8296598180446734,-0.8907044859130708,-1.3957422879574017,-0.18722373904949913,-0.5470132267835749,-0.3978673386125523,0.18191563281111223,0.0709386350423616,-0.34110208936292286,-0.10457922553051248,-0.2736223292527754,0.08007543436537512
1920,8.440356520148605,-0.29894988522241145,-3.8261268056026267,2.2293098077684834,0.09062807195821174,-0.20059780867904184,-4.441593402809821,0.07989529785467586,0.1419975271048766,1.5235274861295367,0.10598317835142244,2.143028629960168,-0.8910420801981433,0.6127954442822975,1.7628381444629642,0.2891269943482014,0.7884419147939665,-0.07667838181774224,0.41513375198469976,0.14125641529041763,-0.2713129016122908,0.12491080278225107,-0.32156569365364157,-0.1883676225443695,-0.4645001746851802,-0.16367912969378368
1924,9.356220816189879,-0.06181414336099578,-0.4582425491310199,0.5318750607211268,-0.20944496348562372,0.22779005568109403,-5.48510365714537,0.0017938878974387187,0.29236948507402954,2.3474360436252413,0.21646874411716205,-1.3668596618358628,0.15109772531169127,-0.09784563456087512,1.4317266776249127,2.02147028894323,0.6098438931548016,0.1086391511958042,-0.02287615061980322,-0.43868947799144453,0.44311108828780427,-0.2352738757696474,-0.14425472443110052,0.2028563467933959,0.26055259249863144,0.27768410613903477
1928,2.6887098715553077,-0.05209296275921764,2.7556224037400927,-2.0674626347497553,-0.23816101673568138,0.013101355633583339,-3.178215838276877,-0.19865496458214923,0.13582553292422408,-1.2874792066300524,0.5531980490537162,-2.477959157669205,0.7052584155648324,0.6634364612455858,2.202540222613091,-0.17050461321807714,-1.7680598628488415,-0.3722867081059693,-0.04279083433144071,0.19006796584940341,-0.5857446705423436,-0.8106075904658003,-1.036194634006762,-0.6963694339827757,-0.05130797841343079,0.018934595735669177
1932,7.320873010798568,0.5264407469631726,5.38480203918764,1.565526617258879,0.13378537132214813,-0.16936028162094952,-0.3429393369147959,-0.07880732159364626,0.01584958758928936,1.0628150834191366,-0.3130592380534601,-2.3406662667825917,-0.9218158245865942,0.35874939768857306,-1.8375858562415783,0.0767317584111672,0.028565076002386263,-0.22065747607355435,0.7932014534528581,-0.051018277129190055,-0.045387187069427,0.5471643243553851,0.2343141666507237,0.1787492713338506,-0.12221491621037846,-0.0604342299421328
1936,6.40714153805955,0.18584628606758588,3.0221239493550422,0.0939416917909839,0.09574877722885053,-0.7744454441339015,1.817787920395584,0.0556644978573929,-0.06690701520841479,-0.05957294176436215,-0.3879376458718299,0.45207813168948535,1.2727972604908715,1.3617261664531943,-2.2717092107238543,-0.9389240324516798,0.5737149372535691,-0.44611276654333853,-0.4076264943491191,-0.16726706703164676,-0.5341420845517556,-0.2424149920352413,-0.1488727095925191,-0.05753238216185203,0.14390794183340652,0.5050366111675331
1940,6.081388800279864,-0.6486179972603212,-1.3063712690389007,-1.9245577875163653,0.2547900531113701,-0.580780447482971,0.4277336412165624,0.0490830891676142,-0.27056493421702027,-0.28546315990663707,-0.5586893792960935,0.27315482727701557,0.10555798273072792,-0.19917940302466527,0.14758273816873813,-0.3890842647039166,-0.37252894061235614,0.2922120435643245,-0.7621241946227756,0.5506596479345796,-0.31317177529014206,0.14892917028495084,0.7985002046376724,-0.08436044721290974,0.23875404319621288,-0.18500279591770305
1944,4.569895847369307,-0.5268980426984654,-1.1124232270234489,-2.4321641811160353,0.20669570894764677,-0.4656095094740587,0.38334413487807717,-0.04954540095742041,-0.17233865894977468,-0.9067823922822442,-0.43713431666665564,-0.36462332398479436,0.15715544702670747,-0.6044956391205498,0.038504237956509486,-1.4571376202542865,-0.4844216848189343,0.5194454646432769,0.011565596324996187,-0.12530617715500658,0.09158457435378381,0.1893107131792061,0.10441543462443327,0.13657131025716848,-0.3035842634075648,-0.3137761482443537
1948,3.05634651121516,0.41112555664630474,1.1690615083402451,0.8304997430077049,0.297230282129032,-0.6517178458273822,-1.7030304475290459,0.06560898118095403,-0.1153227101752969,1.3314053621223114,-0.2649770962606191,0.0075120210794171974,0.18026659592102812,-0.9448359554367058,-1.4964819300542695,-2.5697360334482187,-1.4360438544474052,0.2805738856235368,-0.15826209964065616,0.4240842552686859,-0.4773606365737303,0.04847989760763685,0.5083305904097658,0.7472956075740106,0.3666729373234569,0.32385430871161774
1952,1.2598538208339076,0.24961282998706372,-2.825618924686193,-1.9603601997596207,0.18584499462867266,-0.19624878684010424,-2.0985706561929964,0.011348074514397536,-0.1668974490941474,-0.4318284955334561,-0.015840515695277783,0.15588661024090222,0.43541597475117144,0.18535658208002462,-1.9009923703385185,-1.7721531734378841,-1.2469040388256512,-0.8434392640133733,0.26995528882226794,-0.4128939354602428,0.076385887280543,0.23347952295270796,0.4849425674172608,-0.23837735051796913,0.18305122058673198,0.2529665832703761
