year,PC1,PC2,PC3,PC4
1916,-0.2585221306937356,6.631161480622513,-0.42731561596617995,-0.5147339508380727
1920,-9.744253795331462,1.4923235830322437,3.016903409544284,1.7796408224234768
1924,-9.732828524051289,2.6180686028526616,2.526276804977724,0.9064609564666972
1928,-6.23709254182782,-1.1051712014251247,1.1664352884080593,-0.4500823438025703
1932,3.7474801410779732,9.416769638406846,-2.8377411321005397,-2.180429634542661
1936,5.76139099731457,9.725362350374482,-2.8004280348721386,-1.6501706900803788
1940,1.3215163093578215,6.734229773408022,-0.5614136092592128,0.46343901358069267
1944,0.5491977607998592,5.023527784154842,-0.4267406901165189,0.3227525495950723
1948,0.5063452757561389,3.616801000288709,-2.426666242974237,-0.03748930427048066
1952,-4.8046296846650165,-1.2699274710667556,0.28043257382277037,0.9956253658747046
1956,-5.523180708224515,-1.2718811776267378,-0.142318840459032,-0.7974962235774687
1960,-0.12946678753831226,-0.3792075679722726,-0.9513353060726567,0.5031323337484552
1964,9.169735787555815,1.6303252467826619,-5.059260391298714,4.559375146864398
1968,-0.009116935753083127,-2.1764366149735443,-1.9402752187387993,1.0452084276289464
1972,-5.211173262962944,-7.4957442402716215,-0.6039214743124244,-2.973838122892494
1976,-0.23252802472268166,0.10139315498537428,-2.357434473254851,-0.6528994051606402
1980,-3.347752442306312,-3.6367112414155014,-0.8801254338793928,-0.4866516423154157
1984,-4.637212571709392,-5.736496030151107,0.362241660343582,-2.493051622994539
1988,-0.8413046258919469,-3.277866793505409,-1.532215785374919,-1.74492330511273
1992,2.778776544359612,-0.12479719770724303,-1.6848959182940997,0.18010730889390714
1996,4.062828755507236,-0.5294577378816637,-1.277543265426368,0.6584536613576262
2000,1.9432497906419577,-3.1363477341440236,1.0654697567863938,0.037557187407054424
2004,1.6435587287129747,-3.7424502028760562,1.4779784205297788,-0.3476368797799078
2008,5.501217746616127,-1.518628547627725,1.5879578894420727,0.6398345638069416
2012,4.248840329521582,-2.7345009036150922,2.5211493842629786,0.8352225699019892
2016,2.881427092378409,-3.022025037255461,4.165303204735821,0.38460704262029954
2020,4.0001058793927475,-2.5019105593916953,3.8526509734397734,0.7463343890835027
2024,2.5933908966856847,-3.3304023560013247,3.886832066106848,0.2716517861135959
