year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
1916,7.338190498737488,-1.2552354256438392,-1.0501592607833663,4.7426419267031745,0.9749845836442032,-0.24022064923778355,0.024199073175438887,-2.045790065309247,-0.5122806123158936,-2.004772951714024,-1.2219421791051783
1920,8.30053722367565,3.661281295213973,-4.92999890813245,2.551888159953532,0.35944759908849744,0.389031282606754,-0.09487027446707907,-1.979489164449185,-1.6821714979234899,1.3956223678079422,0.04059742652468611
1924,9.165968281447261,0.4334070144545441,-5.875821664060851,0.9339953223675914,-0.04151642865923651,0.47081568434588716,-0.3304532122660166,1.8228785081500425,-1.3853196750694865,1.922195456620817,1.8114837144231448
1928,2.5895406525277918,-2.8393484466740935,-3.148019819068812,-1.998075870445381,0.25669658225355746,1.056234267523801,-0.11272566545324285,2.6004361291550597,-2.1424215354986194,-2.5742830119629487,0.2743277604869035
1932,7.000087419499218,-5.453116896499538,-0.9595519952834866,1.9292077333812805,-0.1501779125398897,-0.6236859284097365,0.0988834576200766,2.6211203615687144,1.950562832814854,0.9682754586143534,-0.6053055652442647
1936,6.35376317474726,-3.343328680377419,1.3696847153245262,0.015032559072469079,1.0317306492214073,-0.3333614056360744,0.006745706507169488,-0.35287585539382443,2.3295265372705973,0.17425926666099015,-1.2970997325847549
1940,6.079482315971847,1.0580349610268105,-0.15728368859949776,-2.0509677924263463,0.7322762222903136,-0.8487829785179047,0.46172530464211003,-0.612537259857013,0.28685038304488264,-0.2064209824435879,-0.6129072013068375
1944,4.4930950087437616,0.8808535010545097,-0.15853660480913298,-2.533685601653406,0.5958379419239557,-0.6471055798497864,0.3601982756674191,-0.0754569287733819,0.47688820603437404,-0.9399558726109879,-1.2123492616685956
1948,2.6688075404193183,-1.2503464983883803,-2.275702775322728,0.8813022148010649,0.6039579838012986,-0.40716366067068177,0.10343019837892703,0.3528298441635133,1.455236371235676,0.18343193594474064,-2.750573426310037
1952,1.0507071057315935,2.751588944924033,-2.3824775810202947,-1.9406099364689469,0.17706739621990403,0.09916079560063956,0.043456837325905,0.07352183315604478,1.775632429680761,-1.0523226304115827,-2.083541309156402
1956,1.8891185021854915,-0.7292678540465583,-1.6449159427827396,0.4633596190062622,0.2615589013912036,0.12167959921949656,0.3760409923279597,-0.15729032014439165,3.2620333511122492,0.7448607347615573,-2.70128926184342
1960,-0.680703962434223,0.2522829359908212,-0.7333255095647698,-1.3495919343699472,2.0787267684973783,0.045605133951324296,1.648982790314145,0.7464360234073631,-0.45934542220330377,-1.1298784260289658,-0.9374182194820148
1964,-5.432013204880264,-0.803552758844929,-1.2696873975343113,0.637943812840462,3.6301364142301398,-3.6108200360845366,-2.139741569341089,-1.7481899923143467,-1.5772179545126292,0.21132667021140394,0.040906869919861595
1968,-3.209941455946464,0.12001270570733463,-0.869134124468301,-0.886023938054511,1.925509912676224,-1.544436574740337,-0.10593477474990241,-0.7577378116574927,0.5128959974279534,-2.6415329475627196,-0.2516137121957497
1972,-4.018475484643526,-3.1564276609956448,0.75032010420045,0.6086284035396962,1.968092430506405,1.1231047227353868,2.3254732629533224,-1.394639963954794,0.1160016222707811,0.8207619178078832,-0.6418875891113954
1976,-0.789800290453739,-0.4875859584417895,-2.467796891518477,0.11910890099584545,-1.258419114999886,-1.651216714064744,2.1782899827938653,-0.3125495425185379,1.802691928306426,-0.8707754794738994,0.2991219609854245
1980,-2.8192936037783483,1.1313693922135966,-2.1979133357659704,-0.8948605388313106,-0.9264745973009235,-0.4036161078953416,0.7881907910263815,-0.7287126561667693,2.9343568425711077,-1.0908850060708188,1.7091037750488633
1984,-3.123812694155232,-1.3852312610599344,-0.30934367124984585,-0.48086939413087715,-0.8283132509905407,2.022623290363494,1.328454762166101,-1.0422309528295215,2.6551017786047657,0.40960108270372997,0.9163828100406314
1988,-3.2270287881154758,-3.0489870547437223,-0.07838290680978371,1.367974536837107,-0.09633443665821405,0.3469514456904208,0.2831933037996345,-0.7087993159202711,2.0094583565593016,1.2886235390320333,0.07059538887654154
1992,-2.192713902761108,-0.3662336521395658,0.031507861787500535,0.7564814545646831,-0.18871935930298314,-0.696564940070758,1.3355852168120834,-0.4201589315244814,0.10312679994803799,0.7384866721485546,-0.6216597883453795
1996,-3.638733396788261,-0.08202434409838613,0.2823862926111397,-1.6354744820751281,-1.7151177341296573,-1.1240249733512886,0.09590883528162841,-0.4968365060283589,-1.4059376772085679,-0.4897740585198598,-0.0024993955838910195
2000,-4.391010346918082,1.7823450988197074,1.571167632949843,-1.542207810126613,-2.9356229739197612,-0.28813197737763596,-0.12324745177650137,0.4096726911642633,-1.5487222881569598,-0.29177668252466277,0.9554126106740318
2004,-4.417288690907049,1.110867933681511,2.584053393009186,-0.8902952773172095,-1.9332159367595423,0.5387132202488885,0.527782904953341,-0.6626423750766989,-1.6782405113359142,0.44304269943879915,0.8334946818447866
2008,-4.25482738045488,0.5801469876438243,3.0516559362110978,-0.10282946065214046,-2.1942120856863934,1.3153126961506705,-2.765653852459891,-0.45682041715674404,-2.007039025791186,1.3735535981261524,0.7238598864915532
2012,-4.549211002461781,1.4567072471478644,3.912214086049908,-0.5271985242853462,-1.6028429302752008,0.9438398270302027,-2.7162319978015725,-0.2320711568845128,-1.9850390327698373,0.885183687344729,1.6649542966096873
2016,-3.242098867226699,2.9440864836918705,5.731519849832053,-0.29941359233806975,-0.6804441873861574,1.2943011212659603,-1.4341594546045404,2.0174226843733356,-1.6204130485925115,0.21104131634272,1.6449517816973664
2020,-3.5344534019136624,3.2297786649414686,5.658355299189689,0.6342565153307752,-0.2524226889144603,1.1289286902395783,-1.0760756458799714,2.1419604347361054,-2.0068597269807253,0.4391778568549826,1.9863058300207872
2024,-3.4078912498478804,2.8079233254419287,5.565186905609419,1.49028299378129,0.2078102517783597,1.5228297489341056,-1.0874477969456946,1.3985507060851328,-1.6593554285226444,1.0829337889026753,1.968587848293648
