year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
1916,7.511956452388542,0.07048588497708697,0.9779603278266814,4.755071133195904,0.17681145316822622,-0.8500182790406312,-0.5817452650400242,0.061443504537832754,0.018682851882890022,-1.2943250938582724,-0.18686448344259163,1.8412340481274423,-0.02587713035806183,0.35167346356739015,0.8292912855219567,-0.8916561846597996,-1.3960058549436027,-0.1867816349281224,-0.5455790068447252,-0.3960014259048875,0.18069412220150435,0.09317733206375722,-0.34116459677935107,0.06836525226878881,-0.2722009922407382,0.07898117586489978,0.0893477901845999
1920,8.440816411459595,-0.2985396446013934,-3.825537204685698,2.2295133555339444,0.09019861481727683,-0.2009506211112896,-4.441337052059518,0.079501352353358,0.14121233400594396,1.5238072347727205,0.1035173536535656,2.1430497876682484,-0.8895352096762159,0.609755812453065,1.7630700111573396,0.28816788668283455,0.7875825445969034,-0.0841634623409135,0.41295476101254214,0.1361223200980043,-0.2690036419685833,0.18740541261775479,-0.3156887637576451,0.13091863692450834,-0.4745394177250168,-0.16783294812368701,-0.04254293219417177
1924,9.356391358806858,-0.0640348602692991,-0.45913294858714027,0.5332771100362426,-0.20749465824224006,0.22649562528738565,-5.485709326381164,0.0025765517240605293,0.29555996508011667,2.3435874237661385,0.22055761280210337,-1.3671528314035513,0.15017960973642389,-0.091067460799369,1.4295327795032413,2.0189382122174764,0.6118386762381665,0.1219853656986345,-0.016614821264735954,-0.43204000558931366,0.4408560861461148,-0.21030825907651565,-0.15055980247213926,-0.2483154583931606,0.27147729093145,0.28137747426671605,0.0754926989717716
1928,2.6886149291023287,-0.05198286965066667,2.75616595131561,-2.0676434902995666,-0.23731969771193964,0.012699112253020927,-3.1792113314197916,-0.19855401583639087,0.13659601925325052,-1.2881049639740687,0.5528747325619129,-2.477505003519989,0.6944634328458886,0.6631677348007011,2.200340613503646,-0.1707329702123467,-1.7684145666605884,-0.39002864278548244,-0.04331359379934638,0.17080870991748726,-0.5766001674873906,0.7261062879406138,-1.0181397449929481,-0.8173043474976519,-0.059201715873876265,0.008332214526200256,-0.05313088594776152
1932,7.320541891986028,0.5262601206736301,5.3850255774550995,1.566296017375249,0.13304810735242326,-0.16899328681257605,-0.34269434450342917,-0.07898369233447866,0.015219242155800894,1.0635122966032817,-0.3130046642287492,-2.340847123284855,-0.916844595978489,0.3581131893886582,-1.8379588354493808,0.0769287533950012,0.02903030038562777,-0.21573555858781276,0.7953931140525623,-0.04735356911616362,-0.04600134178273481,-0.20209705118407525,0.2280559125220639,0.5487296413428605,-0.12114834455715874,-0.06187603545813999,0.020298639116714694
1936,6.40674051319702,0.1876841170028835,3.0229102699668395,0.09352394899488312,0.09454332220972189,-0.7737934282506529,1.818311945508235,0.05547850212722582,-0.06821826420715638,-0.057624263226207305,-0.38914258918430666,0.45234605135668354,1.26788472357357,1.357912477193987,-2.271831334329719,-0.9381786584948338,0.5731891212762363,-0.4572411617125875,-0.4130132705416908,-0.16971074889755694,-0.5346680406903019,0.08101782679918693,-0.14248249894123036,-0.24196999795111712,0.1397092626231926,0.5095990228239016,-0.04785313685598076
1940,6.081452766471622,-0.6497833508057828,-1.306116792653502,-1.9243369226285674,0.2551278610558094,-0.5810916450966537,0.4280052573317718,0.04966202670527723,-0.2697166195957399,-0.28640313700419834,-0.5571584750067817,0.2730103841808045,0.10610960046742252,-0.19566060070492997,0.14655577391026792,-0.38963805064292767,-0.3721101247487953,0.2971415893456286,-0.7518026175273032,0.5530577436179244,-0.3163570247251303,0.08044083559984119,0.7942564636484408,0.13978061973689923,0.24826961443838863,-0.1946648204515257,0.10978439411282234
1944,4.569974852031228,-0.52690410613617,-1.1113792998186756,-2.432466496501029,0.20590189575877868,-0.46526485363372916,0.3836952377678184,-0.04980246364227162,-0.17385417768580702,-0.905712100443355,-0.43920024916238254,-0.36462142654570556,0.16226680795136833,-0.6053391260410799,0.038691036141748944,-1.4566484280421368,-0.4850194110886438,0.5214850723228766,0.008793249769386712,-0.1196829724303701,0.09146086073884085,-0.13914358810480817,0.10022646876935508,0.1937765340827092,-0.305931157006773,-0.30597362849442544,-0.025206881072699777
1948,3.056107023143516,0.41084426357330917,1.1689662471573867,0.8307971354468211,0.29782452814873817,-0.651896407343213,-1.7021196136435195,0.06614484559855573,-0.11466225944491919,1.330759171258764,-0.26431560050840985,0.007853221680420588,0.18324459458342235,-0.9417106093826135,-1.4970601047768046,-2.5704198307330843,-1.4353749994680889,0.29706972204766485,-0.15141577452445157,0.44030317717685846,-0.4841215994561502,-0.7328344033534889,0.4944605882136276,0.03382914726692381,0.3808625962535481,0.33311381486423264,0.011237865651406389
1952,1.2601030760627696,0.25241451256069974,-2.824170628188963,-1.9612635114633479,0.1838759281427416,-0.19535916075980456,-2.097853414092088,0.01000513763952804,-0.17140812575616957,-0.42728803602820414,-0.023430353079578192,0.15649312474169755,0.4341266027774768,0.17586456516731847,-1.8990929097887532,-1.770456356923599,-1.2492507923992164,-0.8567514323056603,0.26007334563722295,-0.4217425569670849,0.07835094637789791,0.22155868926726205,0.49261788217086444,0.25085387968648853,0.17284952561577632,0.24893249343202253,-0.03982714524756772
1956,2.2963049353998595,0.4074969891119209,0.5543781509189468,0.3497219405927167,0.3665093211815117,-0.3036717230414538,-1.27364230093435,0.25696053558728427,-0.2958020009780598,-0.3561363986081157,0.03472253427384658,-0.25349047160793275,-1.1728478167916472,0.7096931530503695,-2.971477215207488,-2.6783708511770623,1.2075252139491772,-0.7131212733693819,-0.06374095630488485,0.35880302789392127,0.626130090537558,-0.3067787381469581,0.7648556601104236,0.30391374300856194,-0.48029901536542563,-0.23287247913832854,0.08633467147154308
1960,-0.6439801731565395,0.4294273813583736,-0.31714193184892003,-1.3010931549128943,-0.02515989113493631,-2.1293886174800893,-0.7160926236292472,-0.05874324076217727,-1.8437499862837357,-0.2651668143763674,-0.12807389075197237,-0.5950652565708755,0.4709667991332312,1.1954238165029498,0.04443995347208903,-0.5216291876792373,-1.3316911665045768,0.5310230321540663,-0.5331924501967934,-0.14649909742685877,0.3258765345982767,0.5780006325464834,-0.12789286337500896,0.15390015489532177,-0.543244870826421,-0.18838836054002103,0.16967947364627747
1964,-5.271342436818944,-0.21202407901324652,0.7912999364949459,0.8689488398713989,0.3279707052452434,-3.707471608164112,-1.4468364714619795,-0.05292863803097001,2.036987820127514,-0.22531165317165738,-3.709746760065691,1.5904278802477683,0.6968148351758316,-0.24297665646694575,1.3382331324187942,-0.3088414879059646,0.32932317608173794,0.10556579191946965,-0.2001856926662477,0.2054264652473576,-0.25163421018658766,-0.27790310544112845,0.6522516438051398,0.45296840629539326,-0.22228550630075075,0.13732417501350114,0.18706762642361982
1968,-3.006195009055595,0.13647923847588542,-0.13125796164865366,-0.8850901875916694,0.09403586024945325,-2.032810136228909,-0.8967086949568585,-0.07216728557988301,0.15367314094471415,-2.4188011608262294,-1.5284092061661487,0.5943949986680314,-0.851729057414432,-0.09347227182256757,-0.4712707166302616,-0.6443612776955384,-1.348636591028818,1.0056528621186607,0.2268742165929504,-0.4620130596292773,-0.39439740278267654,-0.17345361334756454,-0.042695804425059776,-0.27062946200526133,0.32421535070864904,0.07170944834184896,-0.2026294866352166
1972,-3.8602277157358786,-0.47532438808627264,3.344733106919098,0.4578942094763505,0.04728123971134044,-1.9475137589007614,0.49049747910646946,0.12482860205773237,-2.4766262555707423,0.035661332149052295,0.863289576170591,1.5030637144629042,-0.7725990028104744,-0.23821070360231208,-0.07807384620068408,-1.2709719081266893,1.256378866988038,-0.2223095688610598,-0.05852859788092884,-0.048963171797504874,0.3966534014677464,0.027804441984914982,-0.5404760184998889,0.2500016829084246,0.445387324209403,0.42406310619761756,0.025477332091096674
1976,-0.5333533241280956,-1.1446189592999354,0.7669637204785653,-0.11489911601262978,-0.11896630575586442,1.4629532666952731,-2.396442846268515,-0.11467216755154579,-2.5867527801495074,-0.816877045720708,-2.1571008278159582,0.6240866959967581,-0.7525492682626509,0.004206853898276951,-1.7877850533666881,-0.14195970763090962,-0.3244906473567112,-0.2909963234902596,0.32840099688568164,0.16451227133941623,0.42539710866459113,-0.4462276266138788,0.007738903476844969,-0.4229196613849446,-0.09752793410430396,-0.43482856619285193,0.03994992349520932
1980,-2.529523617746057,0.6755270384393466,-0.914765730750235,-1.0537704210382832,0.6156232618745572,0.9714858385309337,-2.324225873406896,0.09869150473385929,-0.8711168135002968,-1.7183419905938364,-0.5008904835592022,0.8045870889265977,-0.07864473594467973,-1.6953733405693767,-2.6870615539523057,1.077655281990321,0.11890958279202292,0.25819020880837124,0.12881460741830045,0.3737440369368452,0.3754133830267629,0.24088739645371537,-0.3309833777484566,0.1992717540466552,0.42393035551838365,-0.6349798906866122,-0.0026798441915672554
