year,abbr,state,Population,evs_2024,2024_pres_margin,2024_pres_relative_margin,2024_national_margin,gov_relative,sen_relative,gov_2024_margin,sen_2024_margin,sen_2024_party,sen_2022_party,sen_2020_party,senate_class_1,senate_class_2,2022_senate_margin,2024_pres_margin_str,2024_pres_relative_margin_str,gov_relative_str,sen_relative_str
2024,MI,Michigan,10181316,15,-0.0144247365783393,0.0005719548558608,-0.0149966914342001,0.1214247365783393,0.0174247365783393,0.107,0.003,D,NO_ELECTION,D,I,II,,R+1.4,D+0.1,D+12.1,D+1.7
2024,MN,Minnesota,5743781,10,0.0434340435218895,0.0584307349560897,-0.0149966914342001,0.0335659564781105,0.11456595647811049,0.077,0.158,D,NO_ELECTION,D,I,II,,D+4.3,D+5.8,D+3.4,D+11.5
2024,MO,Missouri,6230616,10,-0.1867472062616317,-0.1717505148274316,-0.0149966914342001,-0.022252793738368304,0.046747206261631674,-0.209,-0.14,R,R,NO_ELECTION,I,III,,R+18.7,R+17.2,R+2.2,D+4.7
2024,MS,Mississippi,2917954,6,-0.2314502821118368,-0.2164535906776367,-0.0149966914342001,0.1984502821118368,-0.11854971788816318,-0.033,-0.35,R,NO_ELECTION,R,I,II,,R+23.1,R+21.6,D+19.8,R+11.9
2024,MT,Montana,1123742,4,-0.205780970401637,-0.1907842789674368,-0.0149966914342001,-0.04321902959836299,0.134780970401637,-0.249,-0.071,R,NO_ELECTION,R,I,II,,R+20.6,R+19.1,R+4.3,D+13.5
2024,NC,North Carolina,10845889,16,-0.032606802026008,-0.0176101105918079,-0.0149966914342001,0.165606802026008,0.0006068020260079979,0.133,NO_ELECTION,NO_ELECTION,R,R,II,III,,R+3.3,R+1.8,D+16.6,D+0.1
2024,ND,North Dakota,787887,3,-0.3739298613278637,-0.3589331698936636,-0.0149966914342001,-0.0700701386721363,-0.0760701386721363,-0.444,-0.45,R,R,NO_ELECTION,I,III,,R+37.4,R+35.9,R+7.0,R+7.6
2024,NE,Nebraska,1997971,5,-0.2084068330389779,-0.1934101416047778,-0.0149966914342001,-0.0915931669610221,-0.2715931669610221,-0.3,-0.48,R,NO_ELECTION,R,I,II,,R+20.8,R+19.3,R+9.2,R+27.2
2024,NH,New Hampshire,1402045,4,0.0282121494672676,0.0432088409014677,-0.0149966914342001,-0.0682121494672676,0.06278785053273239,-0.04,NO_ELECTION,NO_ELECTION,D,D,II,III,,D+2.8,D+4.3,R+6.8,D+6.3
2024,NJ,New Jersey,9543999,14,0.0602774743323351,0.0752741657665353,-0.0149966914342001,-0.022277474332335102,0.0637225256676649,0.038,0.124,D,NO_ELECTION,D,I,II,,D+6.0,D+7.5,R+2.2,D+6.4
