year,abbr,D_votes,R_votes,T_votes,total_votes,electoral_votes,D_delta,R_delta,total_delta,pres_margin,pres_margin_delta,national_margin,national_margin_delta,relative_margin,relative_margin_delta,third_party_share,third_party_national_share,third_party_relative_share,two_party_margin,two_party_margin_delta,two_party_national_margin,two_party_national_margin_delta,two_party_relative_margin,two_party_relative_margin_delta,color,pres_margin_str,pres_margin_delta_str,national_margin_str,national_margin_delta_str,relative_margin_str,relative_margin_delta_str,third_party_share_str,third_party_national_share_str,third_party_relative_share_str,two_party_margin_str,two_party_margin_delta_str,two_party_national_margin_str,two_party_national_margin_delta_str,two_party_relative_margin_str,two_party_relative_margin_delta_str
1916,IN,334063,341005,43780,718848,15,0,0,0,-0.009657118056,0,0.031189132195,0,-0.040846250250,0,0.06090300035612536,0.046448091706212336,0.014454908649913022,-0.0102834084862562,0.0,0.032708373737440025,0.0,-0.04299178222369622,0.0,red,R+1.0,0,D+3.1,0,R+4.1,0,6.09%,4.64%,1.45%,R+1.0,0.0,D+3.3,0.0,R+4.3,0.0
1916,KS,314588,277658,37567,629813,10,0,0,0,0.058636452407,0,0.031189132195,0,0.027447320213,0,0.059647863730980466,0.046448091706212336,0.01319977202476813,0.06235584537506374,0.0,0.032708373737440025,0.0,0.029647471637623712,0.0,deepskyblue,D+5.9,0,D+3.1,0,D+2.7,0,5.96%,4.64%,1.32%,D+6.2,0.0,D+3.3,0.0,D+3.0,0.0
1916,KY,269990,241854,8234,520078,13,0,0,0,0.054099577371,0,0.031189132195,0,0.022910445177,0,0.015832240548533105,0.046448091706212336,-0.03061585115767923,0.05496987363337267,0.0,0.032708373737440025,0.0,0.022261499895932645,0.0,deepskyblue,D+5.4,0,D+3.1,0,D+2.3,0,1.58%,4.64%,-3.06%,D+5.5,0.0,D+3.3,0.0,D+2.2,0.0
1916,LA,79875,6466,6641,92982,10,0,0,0,0.789496891872,0,0.031189132195,0,0.758307759677,0,0.07142242584586264,0.046448091706212336,0.024974334139650306,0.8502217949757358,0.0,0.032708373737440025,0.0,0.8175134212382957,0.0,deepskyblue,D+78.9,0,D+3.1,0,D+75.8,0,7.14%,4.64%,2.50%,D+85.0,0.0,D+3.3,0.0,D+81.8,0.0
1916,MA,247885,268784,15154,531823,18,0,0,0,-0.039296908934,0,0.031189132195,0,-0.070486041129,0,0.02849444269992084,0.046448091706212336,-0.017953649006291497,-0.04044949474421729,0.0,0.032708373737440025,0.0,-0.07315786848165731,0.0,red,R+3.9,0,D+3.1,0,R+7.0,0,2.85%,4.64%,-1.80%,R+4.0,0.0,D+3.3,0.0,R+7.3,0.0
1916,MD,138359,117347,6333,262039,8,0,0,0,0.080186537119,0,0.031189132195,0,0.048997404924,0,0.02416815817492816,0.046448091706212336,-0.022279933531284175,0.0821724949746975,0.0,0.032708373737440025,0.0,0.04946412123725748,0.0,deepskyblue,D+8.0,0,D+3.1,0,D+4.9,0,2.42%,4.64%,-2.23%,D+8.2,0.0,D+3.3,0.0,D+4.9,0.0
1916,ME-AL,64033,69508,2773,136314,6,0,0,0,-0.040164619922,0,0.031189132195,0,-0.071353752116,0,0.02034273808999809,0.046448091706212336,-0.026105353616214244,-0.04099864461101834,0.0,0.032708373737440025,0.0,-0.07370701834845836,0.0,red,R+4.0,0,D+3.1,0,R+7.1,0,2.03%,4.64%,-2.61%,R+4.1,0.0,D+3.3,0.0,R+7.4,0.0
1916,MI,286775,339097,25101,650973,15,0,0,0,-0.080375069319,0,0.031189132195,0,-0.111564201514,0,0.03855920291624998,0.046448091706212336,-0.007888888789962356,-0.08359856328450546,0.0,0.032708373737440025,0.0,-0.11630693702194549,0.0,red,R+8.0,0,D+3.1,0,R+11.2,0,3.86%,4.64%,-0.79%,R+8.4,0.0,D+3.3,0.0,R+11.6,0.0
1916,MN,179152,179544,28668,387364,12,0,0,0,-0.001011968071,0,0.031189132195,0,-0.032201100266,0,0.07400790987288441,0.046448091706212336,0.02755981816667208,-0.0010928474251176484,0.0,0.032708373737440025,0.0,-0.033801221162557675,0.0,red,R+0.1,0,D+3.1,0,R+3.2,0,7.40%,4.64%,2.76%,R+0.1,0.0,D+3.3,0.0,R+3.4,0.0
1916,MO,398032,369339,19398,786769,18,0,0,0,0.036469408429,0,0.031189132195,0,0.005280276234,0,0.02465526730209248,0.046448091706212336,-0.021792824404119854,0.03739130094830271,0.0,0.032708373737440025,0.0,0.004682927210862685,0.0,deepskyblue,D+3.6,0,D+3.1,0,D+0.5,0,2.47%,4.64%,-2.18%,D+3.7,0.0,D+3.3,0.0,D+0.5,0.0
