year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
1916,-0.6643460491699409,6.411033781498873,-0.23095479591597215,0.4053925405047649,1.4959794159058495,-0.5779843434075389,-0.03242954896268466,-0.7807618914450174,-0.8530851504520428,0.002455346226442578,-2.603991966003148,0.338782089194712,-0.7638108013492013,0.3455392212695297
1920,-9.34455764305029,1.615407724305241,0.4112635393620258,0.18107776887395016,-4.1155321494237045,0.455294033185463,-0.9184868066170279,-1.4404524120655864,0.5344738316657903,-0.5153930204642121,-0.5994328940728771,1.23190801233063,-0.0754687425837405,0.31578016517209445
1924,-9.532048285376193,2.692027211606916,0.6339876754148996,-0.07106843122358783,-2.6081156215784964,-0.1446370389510967,-0.970117130105505,-0.5384072698449035,2.051010411059013,0.4906901728014436,0.7048003975977777,1.2266257752110392,0.554886859762275,0.05243146325770786
1928,-6.217688921744533,-0.9840101914486518,0.2091826436975101,0.17343527433132908,-0.21414875485929025,-2.025941886298187,-0.2509617566463489,-0.23963592292034055,0.16450022730597744,1.2057882617144298,2.582375258265585,1.7288089876598738,-1.1190380307769427,-0.12220248206164702
1932,2.8524125045314324,8.936578631420526,0.30808011223792997,-0.2065768350625102,5.319941322347714,0.27451502497106045,0.033306189727052134,0.48896429100232164,0.8933089513981735,-0.34019331865490904,-0.8031892866880924,-1.2748962992031518,0.6076112876656792,-0.3894646133368431
1936,5.208311154720541,9.437392811950344,0.08608743474995104,0.0050496460665225154,4.085506209218238,1.1123052777839595,0.7149913386831436,0.8055626583379677,-0.7671394358866068,0.24177213568756017,-0.7160368993459922,-1.6010253353575281,0.09193469725240785,1.0581507651059754
1940,1.644096838800818,6.942543174173154,-0.29311969640324437,0.06339668641959892,-0.38346701016113105,0.6801033333909402,0.4602657101849376,-0.20157886461093263,-0.49551743004451865,0.17383441476434355,0.4595589409355844,-1.0074046572913395,-0.21485576666431258,-0.11265074457674307
1944,0.861244608684276,5.245574803629566,-0.41904404080525615,-0.010498483950075056,-0.4120303408484127,0.24152066417149617,0.20008643117446182,-0.07148403498859965,-0.9691304708162632,0.02046040365314272,0.8477432540817604,-0.6435954224588043,-0.18210420099669752,-0.26432150215424743
1948,0.25518776859686226,3.4139839106560523,0.25025036824159697,0.28658169560289243,1.4529703990814877,-0.28695097645307843,0.18368365152673946,0.6832340762890221,-1.0921032503060866,-0.04959806595127423,-0.680943644893197,-2.2401702849465104,1.5448577040556106,-0.3138896304952371
1952,-4.337594070419059,-1.082722058625971,0.40773202769329514,-0.09508366123338487,-2.605998624863155,-0.2384085494539326,0.06649004725431042,1.212631188555474,-0.8950458333770804,-0.6907641611798768,0.8940844813721434,-0.8876841197595199,0.09374602537499942,0.14103106797454648
1956,-5.662665894594012,-1.416178068663023,0.5075674496561648,-0.3215026506530451,-0.25690564451250875,0.9885311663665638,-0.05917732750044765,1.2701816898645464,-1.110039460626484,-1.336511283451775,0.39941832863998117,-0.12069741884022166,-0.4376198855419106,-0.49897129984711613
1960,-0.03447258725779959,-0.3159118127739387,-0.003407803786397011,1.3403943225941175,-0.01673318774706004,-0.705371599841871,1.4701169082432775,0.3510222864656813,-0.3237032792791002,-0.2130503444022476,0.6690460639474282,-0.5367220347861125,-0.3059512635685266,0.6712100704568645
1964,8.664581622114081,1.172152842787805,-0.5765254657701749,5.274926916825619,3.0814035742455594,0.17902245818332252,-1.6632826821196478,-0.567292930975907,0.11484831455225597,0.5170035479407813,-1.138366342917633,-4.237378075821927,0.5472565351033062,0.32845104474067577
1968,0.1923563713177236,-2.0134912427062166,-2.0903375866367515,1.2672145094071927,-0.0050928901570255845,-1.0032802615818153,-0.08578960752643075,0.25080210639257816,-0.5546345709459486,-0.14402472231714156,0.3367887522998262,-1.0436095752689134,-0.4604051284995337,-0.1755561728508854
1972,-5.320609734496702,-7.383817777329919,-2.4616582031527416,-0.8832394608827876,0.5458179360690439,0.21996330115880858,2.4377404833714813,-0.48329820313257355,-0.9788769441548348,0.10490533834545525,0.6156392570712582,1.5968830644813843,0.368174652390357,0.11176283953077178
1976,-0.1579411305742708,0.12257818703919919,-1.3450552715210213,-0.8442055401705348,0.7978956600704115,-0.004982568539041436,0.6987600140412182,0.1542558787206122,0.853398512156916,-0.7301439262557735,-0.24131631118575597,-2.1100186748787513,-0.0687252624616128,-0.07884542698089711
1980,-2.829748462661413,-3.3308894495515684,-2.0069690855986777,-1.658580978361213,-1.64440298990583,0.03381604307308316,0.33208283051998644,0.9185450110810527,1.0122847869791491,-0.07176019183161618,0.20861589806845401,-1.2598528792955825,-0.5381426768586679,-0.24025437543823572
1984,-4.506230162274397,-5.62121030089752,-0.5384072530397193,-2.5369725929239166,-0.7920874102780119,0.33433368675131386,1.2090982578412992,0.7307044446217734,0.04476919313709238,0.7679574331724761,0.4242285807630224,0.41047035545671196,-0.37544711693908317,0.01671119341742569
1988,-1.179097923847328,-3.4562875048805126,-0.6193221808470413,-0.9264679516719245,1.582520233805338,0.4186358694181026,0.38623069980388297,0.436639429784651,-0.31502563810058487,0.9649465958989498,-0.4650905375042988,-0.6455466655318608,0.023390636805656017,-0.48887775160716074
1992,2.5947841455122953,-0.3009371355448134,0.44662712181781405,0.48911737563377305,1.1862906059562617,0.3151848062124819,0.6704655116224046,-0.3984675708168044,-0.01887269595396013,-0.06746696012739482,-0.6490948805352933,-1.631080616495046,-0.2217237710784424,-0.42180278763401463
1996,4.1327431621946165,-0.5196481763993842,0.019080181393695633,-0.09492515579025879,0.7483939461430608,-0.6706425398225124,-0.3666316814043863,-0.8756034815037248,-0.007210263501109123,0.10337650866634404,0.4819044741392257,-1.5127048285204476,-0.060750327267392684,-0.28274242090554763
2000,2.2924403677341947,-2.935479668621051,0.2562772967440517,-1.4524166829917462,-1.1538635789398803,-0.8571821367929799,-0.17566083221618664,-0.5061685334623991,0.6146592853131192,-0.18742516227508071,0.626411752389598,0.1667047985953354,0.27352871585965166,0.03048698457506151
2004,1.8751585479143997,-3.595762703554233,0.5100608416972899,-1.1725278008366307,-1.0070386730123713,-0.28244767253781794,0.353476695527382,-0.7671213476406864,0.3113311265741487,-0.14296954486578553,0.40283390627503796,0.8661446876301797,-0.09701440198329842,-0.22287273129357452
2008,5.312637879155583,-1.6938670060058953,1.4964301734835201,-0.27065202732225074,0.4208266941699882,0.3660549273341115,-1.8657820933845022,-0.4627295102051246,0.16143148198888174,-0.27732227547143856,-0.1711322645180197,0.8997390141414295,-0.07595011306250289,0.7957813992822829
2012,4.247678140773699,-2.7520344619517334,1.0534134245031308,-0.08982823325940732,-0.6061599955816112,0.29522572833735294,-1.73471659020069,-0.3446982181773169,0.5531873112578967,-0.31472253155689395,0.0995529606180552,1.8450806484606268,-0.13119462889138286,0.308192718506339
2016,2.9645845689306447,-2.918457058573879,1.5143689001123475,0.14460598924867346,-1.7182861183952878,0.28153942579643637,-0.544013531247634,0.11218471229525948,0.14200828017906247,0.2506345311204984,-0.12308740069999977,3.5624856569441,0.36901761856193777,-0.07972410027517875
2020,4.052941067752974,-2.4242749859651345,1.4172823244972763,0.6299477890279834,-1.5166091191403364,0.21917843532256173,-0.4168975441387176,0.05266560950447533,0.503021615296782,0.11904199956880947,-0.6469464241068706,3.321818362692897,0.3461191830082866,-0.2191744514831541
2024,2.6358421167317982,-3.244293475574231,1.0571098681744973,0.3734059717968556,-1.6610738876088411,0.3826053922228131,-0.1328476374513691,0.21030680887450523,0.4261510945803656,0.11847881924474109,-0.9143734539935577,3.5569354356567975,0.3076782026830813,-0.26417844234878957
