year,PC1,PC2,PC3
1916,-0.35635480106972167,6.610087060726621,-0.4128844125305438
1920,-9.446720812343209,1.4865517402039823,3.7072733254466113
1924,-9.54481620234768,2.584133966717343,3.0707091767314045
1928,-6.221240329155194,-1.158052279231103,1.2807906809714253
1932,3.386808866039561,9.380489854546036,-3.21744495330114
1936,5.444944776693152,9.713330291434747,-3.1504119899881506
1940,1.31711332575093,6.760952530322397,-0.4116156047889914
1944,0.5459300410921919,5.042164598216895,-0.3023403756053188
1948,0.43627291576073485,3.6687377695068126,-2.351182266238151
1952,-4.655771616192419,-1.2364411309234713,0.639485591427771
1956,-5.571731874836238,-1.3080153360644153,-0.09986009672387951
1960,-0.08909778047490505,-0.33418274659559993,-0.8332431604999236
1964,9.508921803317905,1.9588120593307419,-4.391016921704362
1968,0.08135720717797935,-2.0817374854964372,-1.7261283545416506
1972,-5.4717854249293785,-7.6085320120703726,-1.083930376327763
1976,-0.34445465040211365,0.12820867298513539,-2.4272268293377928
1980,-3.376132918163627,-3.636346777828707,-0.8806980830191227
1984,-4.841540498357684,-5.852625271268062,-0.03947638494798075
1988,-1.0347511542432275,-3.3150933902016715,-1.8597323958991092
1992,2.752064353430679,-0.07372806165940166,-1.7250318996612137
1996,4.089617266569238,-0.4651049486650192,-1.2877532730324408
2000,1.971590693933124,-3.153926678439534,0.9294375921413511
2004,1.6426437357527002,-3.78632378915014,1.2604327293853215
2008,5.573775451244105,-1.520251566811538,1.4448724446546346
2012,4.373405301947097,-2.749509190368773,2.4284641875526445
2016,2.9963642874823324,-3.0969792360828112,3.9992661484391556
2020,4.1390436890074005,-2.552969923387419,3.728284572653204
2024,2.694544347316263,-3.403648719746243,3.710960928744014
