year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
1916,-0.6742841152989244,6.412371871159925,-0.1644017165687798,0.4835493100042997,1.6478086597673638,2.2660096098302347,0.35997588602996977,-1.3489846846597287,-0.8538414108851612
1920,-9.372172527518652,1.5938389669988926,1.0579040843176517,0.14663082637206895,-4.088627912366407,1.1741030096010885,1.2007257053005422,-0.9284130939408601,0.5895559112312393
1924,-9.56301587232129,2.659255449822335,1.1284928156762584,-0.06740054510208439,-2.5351305866815737,-0.6744769279962955,1.2144218429185125,-0.3873038065144518,2.2029028571006934
1928,-6.244148613093449,-1.0111328187689916,0.1549431824433376,0.17020643241398928,-0.17068959959961572,-3.229674815013057,1.7121575534022406,-1.6268672343054198,-0.0835492460525735
1932,2.8684723766141045,8.951269464102257,0.19843301663220483,-0.30248891142149875,5.260993745796018,0.5684351886851593,-1.3206015034587342,0.8162436823005758,0.8870372673575435
1936,5.24756989000986,9.499560877984992,-0.5398134787138159,0.002942014788483571,4.040429307478988,0.7381180137550096,-1.420760889024947,1.1855803469907435,-0.7476910052221317
1940,1.6512613225112185,6.958411510611713,-0.5168702871779496,0.04276296812853214,-0.47656808152536884,-0.1645103723060894,-0.924101367871743,0.17231646036304643,-0.40485578335756817
1944,0.85844241499439,5.240008426256512,-0.44197973992298617,0.006735248805386255,-0.5165743795768915,-0.590756660189631,-0.6606307608216524,0.013370128915123087,-0.8593813977203036
1948,0.2756980212468638,3.427563180105463,-0.02250037665876123,0.46969070980450706,1.54397476331403,0.43873852668369706,-2.094355631270584,1.1342309134150574,-0.73241309134472
1952,-4.347949803077674,-1.0896463166918422,0.2830349465531917,-0.14600690849892414,-2.6164490962549714,-0.8778885747962019,-0.8491545989364138,1.0652388388257616,-1.1601649645058918
1956,-5.667996901980688,-1.4301452452112764,0.39948811342804574,-0.5640093706077455,-0.3626896961606195,0.013006134001748961,-0.2222415620102346,1.5852097892859536,-1.4721433540246718
1960,-0.008931715876543494,-0.2631963678527035,-0.9525976225514713,1.2306440534941552,-0.06566212684012519,-0.9505409760068257,-0.36811008907880144,0.20146914001229096,-0.7771401569394375
1964,8.6714423436274,1.1973581214690823,0.9893870500760138,5.42002897116244,3.0983119086372435,1.0615752827909894,-4.332077550049497,-0.4326575858060435,0.47882854326149304
1968,0.1708569647067861,-2.064754209857566,-1.31320823766539,1.3801978907856114,-0.08267737294483599,-0.4971055702945264,-1.4517785098622318,-0.9082068564825322,-0.5301413737316182
1972,-5.26959012578775,-7.379408897918254,-3.614426360542227,-0.7514110030748372,0.40773575876311013,-0.22060860190198942,1.410406049007391,-0.2112068086428135,-0.6945303034923248
1976,-0.1404086227730671,0.12352953848964025,-1.2733798779474004,-0.9160248531587313,0.6680545589979539,0.301510258275228,-2.3249184403201144,0.03142746273464805,0.6399659454103485
1980,-2.842967141062698,-3.3812147559300145,-1.5972559334695986,-1.6440895534315008,-1.6954863165464438,-0.2305470470496234,-1.604613603664007,0.04688924126884858,0.9144163052481624
1984,-4.480755807824909,-5.613379427172625,-1.4741543483185067,-2.508794647069395,-0.7156422355205772,-0.5363321318755178,0.5149315626509379,0.5314243557301932,0.011753326817710618
1988,-1.1567194295554004,-3.4568152759560817,-0.9512200093642154,-0.8083727887505716,1.694848773837111,0.2900582651002019,-0.6059113099981749,0.37557951468797707,-0.024597581313962343
1992,2.6280880309460914,-0.24806579425617345,-0.10721316580015282,0.37120010296171635,1.1966632126497205,0.5997337015127912,-1.4041838898914334,0.1852790659663926,-0.19025708642392405
1996,4.142274902153347,-0.5069095355357544,0.3519363887090726,-0.06138813881790657,0.7065621927086786,-0.5499911057153554,-1.4940089241231933,-0.9320203411552548,-0.009078356708241272
2000,2.290088773791789,-2.9393572148308342,0.3859105299252893,-1.4178465025137152,-1.1738415852729023,-0.7089187884475285,0.16874963994924233,-0.6503764140004749,0.5368739654736044
2004,1.8849036485192694,-3.57978735312695,0.1459480706161488,-1.2281272131378602,-1.0295779400607048,-0.3393387579565988,0.9804013460420901,-0.502858792310046,0.18115408587501663
2008,5.296318706043801,-1.6894829873157424,2.4242708150305696,-0.2936556177524346,0.4240704793190086,0.41709226054262943,0.9152951317395931,-0.3189668102724821,0.10859212357172796
2012,4.214022101605024,-2.7777368398788465,2.0383346622861227,-0.13199916411880125,-0.6251473583405551,0.15771862753477597,1.7389357248666035,-0.36017607473403523,0.5340501947229235
2016,2.9367055491760485,-2.9331116352087774,1.3621631322244192,0.15045561235208632,-1.607937112569973,0.1285661872655805,3.720240905949019,0.41786281354273724,0.29252840818007225
2020,4.024047477136216,-2.4363815194613805,1.268535401792095,0.6053434665120386,-1.3970366412960715,0.5623815063465185,3.4709740583985256,0.36071859014277113,0.6031747231820148
2024,2.608748153088838,-3.2626412120270043,0.7802389449908339,0.36122760987069036,-1.5297153197115936,0.8536437576235838,3.6702332241270943,0.4851981586420234,0.5589514542899815
