year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
1916,7.507522560131381,0.04895569446035015,0.9405891695566776,4.7752005886077535,0.18874434838861245,-0.8609385453221441,-0.5949954954241797,0.061937709079028826,0.009107604471608272,-1.2889795478765929,-0.20821642225663337,1.851539017098999,0.07552319161249814,0.40579058251047045,0.7837481021453169,-0.9898987000740251,-1.363740698767635,-0.008678676100464978,-0.47437494815121406,-0.24747122539432734
1920,8.443320920355372,-0.3815461922814341,-3.8594783783484377,2.2665284016110436,0.12043629880037135,-0.22855959989289984,-4.45207674452829,0.060686697617603515,0.16777516146574942,1.3803413109728553,0.16430824303439956,2.0694225267933235,-0.9092578434349075,0.6297321366222088,1.7476007111073233,0.2952474468065062,0.8418350277354499,-0.13602460401547922,-0.010238951501645858,-0.1406639256740548
1924,9.364579507986022,-0.040078067357887645,-0.4741331536707294,0.5303368825833219,-0.2241019261024619,0.231768380653995,-5.471118246862215,0.03238025048693824,0.2835241979121054,2.402602334788156,0.2115722329376137,-1.3030945611066158,0.09676715441318132,-0.09136180570288856,1.3654105963416858,2.0301093529013277,0.5929647129175157,0.16902731799407852,-0.008932711429543853,-0.4084503716405347
1928,2.7050281090906165,-0.1643003331954244,2.75500655292251,-2.068255738366892,-0.23695944087033644,0.017631043676369196,-3.2113701935683503,-0.20754707123962138,0.15394330003957143,-1.4457314881184198,0.5927087494699573,-2.516651328993855,0.9135803641961063,0.5871589331826913,2.290919692955146,-0.14521098443537683,-1.6962265614032797,-0.5727760562196582,-0.603781285745184,-0.7231156499627914
1932,7.3209962786093055,0.5640714144992449,5.352549014349384,1.599167336408872,0.1485266559487222,-0.18011693180786648,-0.3565825084953456,-0.09840546289124986,0.036971828966761086,1.0036294041085825,-0.3088543914452186,-2.4076572957425713,-1.0806887279148736,0.4660494533177009,-1.8510617016711106,0.047578432320680056,0.1094844514999719,-0.06913209977104881,0.5281063927563192,-0.027768463685476384
1936,6.41219491534299,0.12120816172082809,3.056611930447769,0.07016652033204714,0.08916869709896477,-0.8010703114251466,1.839186960758523,0.07134835778985538,-0.07274129764197813,-0.06886797639850199,-0.3755975875483458,0.5069091485374838,1.473584704937398,1.3256333039089476,-2.231923522813455,-0.8961359361742647,0.4536816478855102,-0.4448371579986454,0.19691547751418184,-0.3245692180230111
1940,6.0821769218221435,-0.6248503824965199,-1.2995469291115922,-1.9476086007091107,0.25462951588152183,-0.5911314154713626,0.42623712304836925,0.06884263201367577,-0.30481294456175817,-0.26747412876490095,-0.5558243759542992,0.32147367753935047,0.3434426386642992,-0.3014770101073469,0.1422509586026659,-0.4714356746403972,-0.3499320026006298,0.22967176276133247,0.10710384400901128,1.0252887633306182
1944,4.558280015545239,-0.5361335551419003,-1.123588838381665,-2.434958321688635,0.2079245122114468,-0.46867720071717517,0.3681337930569498,-0.06241268233918021,-0.15507857218456816,-0.8713812701779959,-0.46749082201893066,-0.35699429427675217,-0.039911303985519064,-0.5817393556463466,-0.020848141253452666,-1.429732147282382,-0.49786413705020405,0.47488320573838794,-0.0878603211334273,0.30313818803202663
1948,3.0519239232759676,0.40018455806123293,1.1998758914916714,0.7975319790643225,0.283054480585986,-0.656209354755469,-1.7077745723257118,0.07683072250036757,-0.1201698542402293,1.3583051645976576,-0.2518007601996876,0.029862559903620373,0.23459679028780794,-1.0355283233789714,-1.4681924620617723,-2.5574547733724464,-1.5031845509877502,-0.09422174427202727,0.9142961540410477,0.4526327759019163
1952,1.2337235106672026,0.3805299687989697,-2.8672733846319916,-1.9240872927317594,0.20303380005114424,-0.16563012057348653,-2.1365419584221983,-0.017815084221692767,-0.16257134519191124,-0.4475934679617102,-0.022385066270219824,0.06454050274919247,0.5097266662161184,0.3793741755609529,-1.993110385437737,-1.8608194327209815,-1.0254740244231224,-0.33805873071537185,0.3003569116697355,-0.16116095476639924
1956,2.278142121606545,0.5069916344518705,0.5726047781130565,0.3336536637395397,0.34536845480614015,-0.295472368098084,-1.2557324323697079,0.27220703704898186,-0.3204422783329568,-0.2857235734053841,0.01950215678718323,-0.21925149789900783,-1.2567848567297337,0.8847420140998148,-2.998600210151992,-2.724072768093714,1.2879997290030325,-0.4745494174992544,-0.02208445383879587,0.8082387585210472
1960,-0.6427932537287694,0.3998729114110611,-0.31870582867474295,-1.295200578665731,-0.025599769379493483,-2.1404102748380023,-0.7233616348310894,-0.06329475555628054,-1.82749564132798,-0.2922633410104604,-0.11129635770137744,-0.6051602205584056,0.47602984349350025,1.2456598204909266,0.08946096870373209,-0.544595300048753,-1.3349528378087094,0.7525946617223471,-0.7713270638821461,0.1589055776700165
1964,-5.2803582577871415,-0.20380543114952254,0.7686570826855749,0.8872563384637905,0.3382708332224549,-3.711242990932321,-1.4510882163801002,-0.060060698188250924,2.047056959472137,-0.13831613460595324,-3.7304223940695804,1.5877467311278006,0.6585942581831066,-0.15295705429336479,1.306882575719324,-0.32884503468663784,0.3365184713296211,0.1281583262396051,0.44564364278881136,0.7043993032208424
1968,-3.0048228016817333,0.056269523143686134,-0.09321402230857738,-0.9289304712670645,0.088158671318054,-2.051853391152322,-0.8929247049663239,-0.0486990476468282,0.14674798113338738,-2.446643458289752,-1.499492068030994,0.6335111240853845,-0.7848546133512003,-0.30251990839835124,-0.4116248643319825,-0.5984699705400051,-1.4341734145558678,0.7348384889234193,0.5205434607865662,-0.38280043044065654
