year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
1916,-0.6682856943692904,6.416684964789435,-0.17697649366816848,0.47088804593951383,1.6342142321063493,2.29769800196594,-0.6800440565169366,-1.0896745352865,-0.8731346009581329,0.3663632693344824
1920,-9.376734971258646,1.5968607049062626,1.0214729681336165,0.16631837640175068,-4.101921530459991,1.1773499571182178,-0.4894776778563978,-0.8091463864918101,0.6019216039802574,1.1444735290954253
1924,-9.570758628408155,2.66019844701836,1.1282293514330781,-0.04830870903715779,-2.5409466799745877,-0.6360448163552792,0.14624820771177904,-0.5529044852773047,2.191952519332746,1.1316619204708298
1928,-6.241761897921662,-0.9949099437865054,0.16583528362629574,0.18007105733736514,-0.14481228547849095,-3.1948079395297486,-0.5180904078462417,-1.6059055790234862,-0.08604380285829727,1.7488397603768993
1932,2.8680203181083392,8.938332736602884,0.23037741293347172,-0.3016205068430249,5.25590475288598,0.615674135267923,0.5664181013959809,0.6325052805182806,0.8670250062040632,-1.3961126408567452
1936,5.254668813293449,9.493983211216642,-0.4801385858911439,0.000581780026462463,4.052562408665387,0.7205155029761863,0.36323112883902303,1.1920817913211743,-0.7516675471673192,-1.4283676657963982
1940,1.65638002574944,6.958558223894801,-0.5074764183013354,0.0348558718658484,-0.46880151808760945,-0.18003254889786527,0.04051972079508805,0.20712936537228527,-0.41447256156131995,-0.9143915125351291
1944,0.8650392693744321,5.243885662230373,-0.4366559811819412,0.01085548062846085,-0.4993958046630251,-0.621485142426013,-0.1721384518774774,0.1188979086241701,-0.8500805756141109,-0.6317325754180805
1948,0.25748362093357396,3.3917083576663187,-0.0011557836342714807,0.36862301505679496,1.4872644683425609,0.543549391563363,1.2987705414268649,0.5941402310185958,-0.8278265234928978,-2.2655918482381976
1952,-4.351033989136531,-1.0955042566352802,0.26804827013721727,-0.1341075266932581,-2.6052973927508707,-0.936691162036472,0.17282110064149633,1.037049745998324,-1.121342041635745,-0.876297251748222
1956,-5.661043531162731,-1.4231571485565488,0.40214143767628563,-0.49179277862602333,-0.319442316781392,-0.12037970497542705,-0.27018026909803605,1.8479529616824766,-1.363505268980744,-0.18591803636191187
1960,-0.014413782257052006,-0.2708572227426011,-0.9287345683257547,1.1471327018888162,-0.08694682501353315,-0.892590084126352,0.6984619321796011,-0.0908142100858272,-0.8645261532698046,-0.38112522720195424
1964,8.672879199296432,1.1785717273403704,0.6091322689520976,5.477797009933674,3.0845167538687397,1.1008353453607893,-0.15696585980088115,-0.4624550241496828,0.4674689854021189,-4.328618497936964
1968,0.1950068750596069,-2.0376149398484595,-1.5373428266764115,1.449716348634477,-0.03385800444895158,-0.5998327723227448,-1.1689362338884481,-0.394354584714421,-0.4630296089510906,-1.2144826001603244
1972,-5.259371969774465,-7.35641260364687,-3.5429777621616783,-0.8771416032054014,0.3986682281680289,-0.20906692017519063,0.313667865775097,-0.21765255926834728,-0.7884401474400954,1.6096722467750222
1976,-0.1286084618264111,0.12915663388383183,-1.425979839913144,-0.8968867667463377,0.6782708201523074,0.25762477671011513,-0.2862718692575934,0.20072518890471033,0.672170807503773,-2.21272950986349
1980,-2.8148694168401875,-3.3479364670316,-1.7972964679203578,-1.536670440042063,-1.630942377224315,-0.4087204003204099,-1.159310495582596,0.6573766556928803,1.0485835200816012,-1.3348008588642164
1984,-4.475520002153047,-5.601476943015197,-1.4206182934258984,-2.532664102762727,-0.7048456724579674,-0.5846223396193401,0.068865058554584,0.5905864731176905,0.03137862320029704,0.6084717007027848
1988,-1.1526510157503913,-3.4541903723972247,-0.9814614569917643,-0.8213677130047357,1.695104074484273,0.2758687868452603,0.07427264767767072,0.4023527095388086,-0.01851263944248525,-0.544236763676698
1992,2.6161691907524673,-0.27112056649066446,-0.1291787525503596,0.30142151034739334,1.1509068792445596,0.6861319211888912,0.6847481644947121,-0.14193714156698634,-0.2596291443164775,-1.4968628218741722
1996,4.134701652604714,-0.5230603713035622,0.27065249993061136,-0.08441395020787422,0.679444099548501,-0.47442325844443667,-0.008275226006198384,-1.0899421071220972,-0.03443091550257007,-1.5559835816908023
2000,2.2799626284147285,-2.949563083303001,0.41504635980481863,-1.4458898927441377,-1.1981651104892623,-0.6511040984011839,0.12163841835424125,-0.8295652777081245,0.5182622881011243,0.1004376851517775
2004,1.8726183640062835,-3.5898672933667495,0.23862093980259047,-1.2868204894764645,-1.062510458323995,-0.2667462318859535,0.33431783640216134,-0.7383240291655231,0.13381654166795023,0.903286222607645
2008,5.2909605920677985,-1.6946368017331215,2.4471079573407106,-0.20224602406773803,0.436552441704633,0.3964672907182456,-0.5870603708206595,-0.16655046887529637,0.19384121990822062,0.8268892162024732
2012,4.214664199452346,-2.769622698650451,2.070287501436705,-0.025121540770435213,-0.5953122027070883,0.10177609488268932,-0.74948617497096,-0.09920273367703614,0.6290547764955695,1.719113511232196
2016,2.9243330226695243,-2.932953973404321,1.606225958740267,0.14107914505180458,-1.6138951759110889,0.14800828779395242,0.43690531863994847,0.25322464706076625,0.2692591926650691,3.6193979341349536
2020,4.011666489300307,-2.437637550697806,1.4897596357023983,0.5899197110711039,-1.4099294457207623,0.5940942355117432,0.5038371813016014,0.17319685743277888,0.5645151109172198,3.371983828029842
2024,2.60049909977513,-3.257418432939309,1.003055384992066,0.3457919900439119,-1.5363863586783928,0.8609536916130964,0.42151386933257434,0.3812093061295035,0.5273913357310831,3.616660568108975
