year,PC1,PC2,PC3,PC4,PC5,PC6
1916,-0.7141287743934109,6.370276816823713,0.42470401516497086,0.7693424512881735,1.852353969902516,1.4793914961999983
1920,-9.40410402068786,1.5938388382480977,1.738289647025099,0.774467642168827,-4.016212141718668,0.6022060848655483
1924,-9.4959331834759,2.7170336000524076,1.8227977834249403,0.42883545015568664,-2.7092439436474827,-1.0063064220546902
1928,-6.255890376415128,-1.0580194497627229,1.614697303279275,0.1303639226725264,0.009696237994560233,-3.57075493745713
1932,3.0865097437411064,9.117695813886877,-1.079480515989258,-0.21874686266037266,4.745403368258687,0.6706410750366496
1936,5.307254006988347,9.527638747893528,-1.5534900476390963,-0.40814109663956416,3.936153241047888,1.1731716408934614
1940,1.5619367666337698,6.879974713890089,-0.9691884593781239,-0.24720223706511665,-0.3097017853359851,-0.06107848235203706
1944,0.7750163985682603,5.1656383766256715,-0.7724471303094557,-0.2992908963426257,-0.32966708835048286,-0.45075129718244544
1948,0.35690330698128664,3.5318627100232995,-2.110745720320677,0.271187421923607,1.3366588190179565,0.9494149012827731
1952,-4.352291216901402,-1.05456415892662,-0.8659281217764002,-0.39164774091726173,-2.626763321751181,-0.15600482682652644
1956,-5.569575406950824,-1.3235058003961453,-0.2679390880370443,-0.7819685636373708,-0.49547645659467215,0.8817530835940542
1960,-0.1397559589701963,-0.3775853915480159,-0.8278567471163301,0.6054974226716728,0.33727998355567906,-0.6504621801876668
1964,8.750085915028444,1.354227562707155,-4.166169476793519,5.729539418652513,2.7286691822077818,0.7263441832801704
1968,0.01853064491931257,-2.161185351902771,-1.8983817412942807,1.007024728160675,0.3037396437288191,-0.7409797376957907
1972,-5.56874931503317,-7.667614386698845,0.21067711584870108,-1.9348302330562288,1.4590898531347078,-0.14857797919396962
1976,-0.14564528020866213,0.16421616176772083,-2.4422723603228134,-1.0333984257773297,0.5853665248614385,0.21453982604022892
1980,-2.9227019943198855,-3.403413620852615,-1.7957811002705746,-1.8587609784844832,-1.60794106567069,-0.24847645929178477
1984,-4.521550139567819,-5.651977060061066,0.13886008479538312,-2.9025302191872093,-0.5421720833728343,-0.21784096605779954
1988,-1.1210671882859273,-3.414647897509697,-0.8792230185309055,-1.0137259444314635,1.6723751704073884,0.43725094122292685
1992,2.6668352272767057,-0.1882469432650776,-1.431202316212321,0.39757679389645556,1.0510464085004763,0.6348118660646539
1996,4.204485176286548,-0.42574037459536584,-1.3387324965529197,0.2913267579278017,0.4042236007495718,-0.905906261539405
2000,2.3236353145360926,-2.909007777740656,0.3773080437557273,-1.0436622522908223,-1.402379434345452,-0.9734770136153438
2004,1.875588758425493,-3.6033931010843445,1.0318918211115384,-1.0166252698400682,-1.0686157480910294,-0.5355568003311781
2008,5.5059241214500565,-1.5212751217159137,1.549505994633317,0.6230986248555536,-0.22165990153341075,0.19353782760033028
2012,4.338625512321584,-2.6976615351208038,2.2529012156569603,0.6083976751242633,-1.0314516622014542,-0.08482495166985803
2016,2.9172931922464587,-3.0257407364707003,3.8854325725175576,0.31930906631111283,-1.5107216922558282,0.26815663321893607
2020,3.9873950253641914,-2.5400231829210744,3.6421962495957385,0.7901475835476145,-1.2760436320313184,0.5959103634648759
2024,2.535373744442529,-3.398801451346129,3.7095764937345117,0.40441576097343174,-1.2740060464669847,0.9238683926910153
