year,PC1,PC2,PC3,PC4,PC5,PC6,PC7
1916,7.3191541480893765,-1.121773224873644,-1.5843106069566628,3.74415004481235,2.2719676645529243,-1.194717160061708,-0.5754986833084368
1920,8.253881721825225,3.9378914309364212,-0.2441833909298981,3.3626027417123843,0.19837329119249492,-4.850867365381593,-1.57932164682736
1924,9.140672698298735,0.4181626263021864,3.0004723239324256,1.4442843321782615,-0.7017578599552289,-5.542838615773878,-1.8810540713308652
1928,2.555081086411876,-2.817726219389178,2.7734467146221142,-3.1120194277431863,1.0302571317810953,-3.0513625895444947,-1.5910294799087248
1932,7.2586794309818075,-5.955504495756311,1.073353093072626,1.3132569050470864,-0.23457208655913586,-0.6221767904422362,1.0648002856592302
1936,6.388755021430611,-3.46906569230195,-1.4334247846560686,0.16280200742011333,0.7182866791623601,1.3562192559821793,1.7283994644344933
1940,5.924167375156367,1.0930621443905073,-1.1204356846314052,-1.8046853593949073,0.6918033331203296,-0.4744123722137162,0.29245980714661163
1944,4.454657039397477,0.8058071610801671,-1.0835095397219987,-2.70049643759914,0.8034053579919324,-0.38090661564521205,0.6202767965186058
1948,3.0750210999716963,-1.6644250552990631,-1.2877302471824723,0.5326968303970031,0.7605531900346459,-1.974480305028784,1.4711407328194313
1952,1.364224886575181,2.457892007432436,-1.2554627351817582,-2.2562339662923665,0.2961570375567978,-2.1959302473933464,1.9585217387144132
1956,2.340633564477105,-1.1249411543947914,-1.670397859238435,0.6057359016397753,-0.085510055039077,-1.2739007102781725,3.1982057492146514
1960,-0.6859784704163606,0.17922504240239237,0.5032634766911467,-1.6940955394559276,2.550889057674197,-0.9186525945310092,0.8430304890367954
1964,-5.5929927824999845,-0.970589932309909,-3.066782733124591,1.0564413664622807,3.1620321807055376,-1.6089428522457765,-2.939211465108322
1968,-3.3014320383793496,0.018253279818995813,-1.642360600108712,-1.5649906256247608,2.440848243422751,-1.2334293683342894,0.3249713839140472
1972,-4.129976368541942,-2.8278926562574433,-0.013902728124270881,1.6054213887366555,1.6655057546586929,0.5544463501636593,1.8098221114965771
1976,-0.8432166118605243,-0.5878371601062204,-0.5676705720763959,-0.28858584446126356,-0.7279652775587426,-2.9039918047787787,2.160010953271605
1980,-2.9171564500898315,1.169392291245056,-0.2602107596349409,-0.7598434958378282,-1.2351970769153557,-2.4136511142426675,2.5306792486920893
1984,-3.163049966037394,-1.0680235192592682,0.5900746466669258,0.511506072397979,-1.6256862933337697,-0.24178905756614275,3.2057452486839093
1988,-3.1347076589748073,-3.040398695499631,-0.4239914761494268,2.0890169704225516,-0.8315321320689081,0.0735415312466254,1.7959117554512078
1992,-2.1614820357957476,-0.40757616369573196,-0.5271127601609076,0.8901589982481042,-0.0121680651445662,-0.13281331059606358,0.7606938508365819
1996,-3.77107600313524,0.03373580690197982,-0.7355044413666834,-1.780117091548324,-1.2862779381358342,-0.054015154019402725,-1.1737745802678565
2000,-4.497342855986955,1.9017350416150753,0.5850794059059591,-1.8836767286768037,-2.4799829068364327,1.3995137729711034,-1.3778689535011797
2004,-4.614994114041883,1.4656362401392664,0.46290527841782836,-0.5590424157366128,-1.7682535858643358,2.361810074848423,-0.9362852288710233
2008,-4.244030097260621,0.8373903206593145,0.20933550371712448,0.4599485210478967,-2.7559496387449194,3.435107121939838,-2.815329858662497
2012,-4.673983155981962,1.722687150212382,0.5034921370825644,-0.09090472182279152,-2.145982676940669,4.136994210513457,-2.9611119203755956
2016,-3.277458877899196,2.9312783942841474,2.2407488270458025,-0.7930495984870717,-0.6230751029767466,6.0005527395082305,-1.9364464084749333
2020,-3.5966470518656495,3.208584477571449,2.624912951688948,0.09766823043491746,-0.1025840757402634,5.890325989771121,-2.1646332309134886
2024,-3.4694035338480047,2.875020554151359,2.3499065604011666,1.4120509417236244,0.026415849960227368,5.860366981132627,-1.833104088339964
