year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1916,-0.6286746174219978,6.470513239037944,0.4708845755667394,0.8922862405609043,1.4842812999659871,1.8820510093960616,0.8947301033306387,-0.32430300435415316
1920,-9.313741689741546,1.6222265149591253,1.2978281757905832,0.3454527168605519,-4.218733721501211,1.096248765230199,-0.7845348389713515,-1.0933069692477644
1924,-9.554506133141482,2.634591688051224,1.1720450337068038,-0.2510835381929847,-2.5247353893232214,-0.29018930572222873,-1.5501761468756396,-1.8729204401501973
1928,-6.224680675185926,-0.986718732725454,1.7587785594548166,0.2959461673876305,-0.20215128146191394,-3.359447503274508,0.05843143000240249,-1.3176762800916322
1932,2.8270582889887472,8.92822736894118,-1.4150667958907972,-0.4601601460521043,5.3082451802226185,0.8868848427259841,-0.632728359258258,0.015284806838014009
1936,5.210001700856122,9.486006094541791,-1.4956720523255893,-0.07200028358092107,4.0790401826269065,0.7698452674308907,0.4200668308153086,1.4391374552243215
1940,1.6450306097290792,6.946741940788186,-0.9647142227528901,-0.011759653862761404,-0.4537619228676735,-0.2118438325104583,0.5421083835548216,0.4229282335209506
1944,0.8605077361469696,5.242280035336048,-0.6656745982880784,0.03915035778037695,-0.5182612984265705,-0.7398182704851246,0.5906628164878674,0.5870992270419735
1948,0.25929608854245434,3.420812116403119,-2.1182386731958696,0.446551572044617,1.5395420486617342,0.4408329830811929,-0.10624756276921554,1.341031109678861
1952,-4.342463504694876,-1.0888638636840478,-0.8245538280076206,-0.13282647433399677,-2.632547839285288,-0.9773325830168466,-0.340699703230231,1.5041069798747215
1956,-5.670519574142801,-1.4158391366644694,-0.1841932046778749,-0.4824785001078479,-0.41055901619039503,-0.08725097063622725,-0.47091816078154797,2.106964858743603
1960,-0.028944764461415216,-0.2788751544108331,-0.42223891253331247,1.1339253070530952,-0.019172967922936195,-1.0372654278141116,0.9787904012315383,0.65801967360023
1964,8.678467479351175,1.1838934363129525,-4.327573549066387,5.440643744118915,3.0829699745602666,1.0946237157406615,-0.8065998942994576,-0.54241115509929
1968,0.17092494286197654,-2.0644963600418413,-1.4666936642502104,1.402271668823908,-0.0861557052904408,-0.6919706341728241,1.5394318442475685,-0.30336270648507063
1972,-5.322946026673355,-7.401252685903159,1.2746988111970439,-0.9634626396551678,0.4882053239775173,-0.33613660657597394,3.5250631429133867,0.31549404338722153
1976,-0.16615515127787317,0.0985790244854618,-2.407887656901617,-1.0843219472906884,0.7122802447998072,0.4370812466726491,0.9432047791465562,-0.39306872953016864
1980,-2.871062392429947,-3.4178596513387927,-1.7077998722043994,-1.9085954549775483,-1.6200986293707473,-0.0443333480838527,1.1328060838896759,-0.5963887842020472
1984,-4.512853142193934,-5.62968670405028,0.4463667295325127,-2.677377126035928,-0.6579640062735995,-0.4508429333282459,1.1024943496506356,0.3350327835726353
1988,-1.183027041744112,-3.464226279975494,-0.6506857069909481,-0.8844223815887763,1.7173629991281956,0.344882815722955,0.7385316941062305,0.2912611630196595
1992,2.6243194049450334,-0.247271344598677,-1.401821443672079,0.3942490140386475,1.1893258803556688,0.5766322501160198,0.11844966711620082,0.3023713354164896
1996,4.164574685524959,-0.48645353214721293,-1.4282545816643373,0.09560483430302245,0.6696150510346541,-0.662031609574983,-0.14914533764508234,-0.6860930876543951
2000,2.3066683440052627,-2.9309414872011317,0.21232650061699965,-1.3717572802385867,-1.1710467049384026,-0.691171983810845,-0.3866796045582909,-0.8643892971622915
2004,1.8983528439405992,-3.568073534960871,1.0227656907089637,-1.166776183811239,-1.03023673770289,-0.3774692109494205,-0.0650856387947388,-0.49715927936120347
2008,5.343393174908085,-1.646440106002452,1.0745519056248467,0.0070867232079785585,0.3398190120036001,0.35535570361459123,-2.1228397787075353,-0.29549640685028655
2012,4.250172606694643,-2.752932167879868,1.8506391449272541,0.03764543546838884,-0.6637318134042444,0.18095931170569426,-1.8505186178281987,-0.6167674519621864
2016,2.945542931170405,-2.933644177924135,3.753663227735366,0.13211483241882524,-1.5740094470776964,0.21212228317951157,-1.2987583163102814,0.13329384159326044
2020,4.029155558036416,-2.444897496093518,3.4844889705040534,0.5432210939610789,-1.351086394942882,0.6926314077608481,-1.2312620997502488,-0.08923822985312214
2024,2.6061083174073345,-3.275399043254798,3.662031437056027,0.26087190170060753,-1.4764343213568456,0.986952617578388,-0.7885774667127561,0.04055631049186616
